,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
6279,381,TAMPINES ST 32,12,1993,Y,N,N,N,N,N,TAP,79,0,0,0,24,55,0,0,0,0,0,0,0
6285,382,TAMPINES ST 32,12,1993,Y,N,N,N,N,N,TAP,44,0,0,0,0,44,0,0,0,0,0,0,0
6291,383,TAMPINES ST 32,12,1993,Y,N,N,N,N,N,TAP,44,0,0,0,0,44,0,0,0,0,0,0,0
6298,384,TAMPINES ST 32,12,1993,Y,N,N,N,N,N,TAP,77,0,0,0,22,55,0,0,0,0,0,0,0
6300,384A,TAMPINES ST 32,5,1993,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
6304,385,TAMPINES ST 32,12,1993,Y,N,N,Y,N,N,TAP,88,0,0,0,11,77,0,0,0,0,0,0,0
6307,386,TAMPINES ST 32,12,1993,Y,N,N,N,N,N,TAP,44,0,0,0,0,44,0,0,0,0,0,0,0
6310,387,TAMPINES ST 32,12,1993,Y,N,N,Y,N,N,TAP,66,0,0,0,0,66,0,0,0,0,0,0,0
6313,388,TAMPINES ST 32,12,1993,Y,N,N,N,N,N,TAP,77,0,0,0,11,66,0,0,0,0,0,0,0
6317,389,TAMPINES ST 32,12,1993,Y,N,N,N,N,N,TAP,55,0,0,0,11,44,0,0,0,0,0,0,0
6337,390,TAMPINES AVE 7,12,1993,Y,N,N,N,N,N,TAP,66,0,0,0,33,33,0,0,0,0,0,0,0
6339,390A,TAMPINES AVE 7,5,1993,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
6341,391,TAMPINES AVE 7,12,1993,Y,N,N,N,N,N,TAP,79,0,0,0,19,60,0,0,0,0,0,0,0
6345,392,TAMPINES AVE 7,12,1993,Y,N,N,N,N,N,TAP,79,0,0,0,38,41,0,0,0,0,0,0,0
6348,393,TAMPINES AVE 7,12,1993,Y,Y,N,N,N,N,TAP,84,0,0,0,16,68,0,0,0,0,0,0,0
6351,394,TAMPINES AVE 7,12,1993,Y,N,N,N,N,N,TAP,73,0,0,0,24,49,0,0,0,0,0,0,0
6354,395,TAMPINES AVE 7,12,1993,Y,N,N,N,N,N,TAP,77,0,0,0,44,33,0,0,0,0,0,0,0
6357,396,TAMPINES AVE 7,12,1993,Y,N,N,N,N,N,TAP,66,0,0,0,22,44,0,0,0,0,0,0,0
6434,401,TAMPINES ST 41,12,1985,Y,Y,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0
6459,402,TAMPINES ST 41,4,1984,Y,N,N,N,N,N,TAP,32,0,0,16,16,0,0,0,0,0,0,0,0
6478,403,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,112,0,0,92,0,20,0,0,0,0,0,0,0
6498,404,TAMPINES ST 41,4,1984,Y,N,N,N,N,N,TAP,56,0,0,32,24,0,0,0,0,0,0,0,0
6519,405,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,113,0,0,90,0,23,0,0,0,0,0,0,0
6540,406,TAMPINES ST 41,12,1985,Y,Y,N,N,N,N,TAP,164,0,0,102,61,1,0,0,0,0,0,0,0
6565,407,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,123,0,0,114,0,9,0,0,0,0,0,0,0
6584,408,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,139,0,0,120,0,19,0,0,0,0,0,0,0
6606,409,TAMPINES ST 41,12,1985,Y,N,N,N,N,N,TAP,88,0,0,0,88,0,0,0,0,0,0,0,0
6647,410,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,130,0,0,128,0,2,0,0,0,0,0,0,0
6671,411,TAMPINES ST 41,12,1984,Y,N,N,Y,N,N,TAP,103,0,0,74,0,29,0,0,0,0,0,0,0
